X,Y,neighborhood_id,neighborhood_name,device_serial,device_connectedto,device_address,device_lat,device_long,device_tags,etl_updatedtimestamp,is_current,org1,org2,inside_outside,landmark,ObjectId
-7912997.17250358,5210563.16541154,N_601230550253961809,Bolling,Q2FD-3YYZ-LW7E,BOL-PUBLOBBY-AP1,"2300 Washington St., Roxbury 02119",42.3301489235268,-71.0836630325452, Bolling Inside ,2022/11/18 09:56:10+00,1,,,Inside,Bolling,99
-7912997.17250358,5210563.16541154,N_601230550253961809,Bolling,Q2FD-6RML-C4S6,BOL-SCHLOBBY-AP1,"2300 Washington St., Roxbury 02119",42.3301489235268,-71.0836630325452, Bolling CoB-Employee Inside ,2022/11/18 09:56:10+00,1,,,Inside,CoB Employee,100
-7912997.17250358,5210563.16541154,N_601230550253961809,Bolling,Q2FD-MTWE-FN62,BOL-WELCOMELOBBY-AP1,"2300 Washington St., Roxbury 02119",42.3301489235268,-71.0836630325452, Bolling CoB-Employee Inside ,2022/11/18 09:56:10+00,1,,,Inside,CoB Employee,101
-7913720.91942806,5209401.49372063,N_601230550253962329,BCYF Indoor,Q2JD-UQKQ-B9LG,BCYF-Shelbourne-AP1,"2730 Washington St, Roxbury, MA - large meeting room",42.3224337457746,-71.0901645617862, BCYF BCYF-Grant Inside Roxbury Shelburne ,2022/11/18 09:56:15+00,1,BCYF,,Inside,Roxbury Shelburne,102
-7917899.44707971,5203994.95053004,N_601230550253962329,BCYF Indoor,Q2JD-XNJC-E9DV,BCYF-Roslindale-AP1,"6 Cummins Highway, Roslindale, MA - Meeting room",42.2865140418411,-71.1277009143321, BCYF BCYF-Grant Inside Roslindale ,2022/11/18 09:56:15+00,1,BCYF,,Inside,Roslindale,103
-7910482.19379852,5218090.54673119,N_601230550253962329,BCYF Indoor,Q2JD-UTKP-YWHB,BCYF-Charlestown-AP1,"240 Medford St., Charlestown, MA - meeting room",42.3801186758107,-71.0610705944453, BCYF BCYF-Grant Charlestown Inside ,2022/11/18 09:56:15+00,1,BCYF,,Inside,Charlestown,104
-7917899.44707971,5203994.95053004,N_601230550253962329,BCYF Indoor,Q2JD-XLEC-WCDN,BCYF-Roslindale-AP3,"6 Cummins Highway, Roslindale, MA - room 205 teen room",42.2865140418411,-71.1277009143321, BCYF BCYF-Grant Inside Roslindale ,2022/11/18 09:56:15+00,1,BCYF,,Inside,Roslindale,105
-7910482.19379852,5218090.54673119,N_601230550253962329,BCYF Indoor,Q2JD-VTCK-Y2SH,BCYF-Charlestown-AP2,"240 Medford St., Charlestown, MA - Admin office",42.3801186758107,-71.0610705944453, BCYF BCYF-Grant Charlestown Inside ,2022/11/18 09:56:15+00,1,BCYF,,Inside,Charlestown,106
-7917899.44707971,5203994.95053004,N_601230550253962329,BCYF Indoor,Q2JD-URL9-7FSE,BCYF-Roslindale-AP2,"6 Cummins Highway, Roslindale, MA - Room 108 after school room",42.2865140418411,-71.1277009143321, BCYF BCYF-Grant Inside Roslindale ,2022/11/18 09:56:15+00,1,BCYF,,Inside,Roslindale,107
-7913720.91942806,5209401.49372063,N_601230550253962329,BCYF Indoor,Q2JD-VSFG-ZKNW,BCYF-Shelbourne-AP2,"2730 Washington St, Roxbury, MA - Game room (Teen room)",42.3224337457746,-71.0901645617862, BCYF BCYF-Grant Inside Roxbury Shelburne ,2022/11/18 09:56:15+00,1,BCYF,,Inside,Roxbury Shelburne,108
-7916494.62373062,5207354.5853439,N_601230550253962329,BCYF Indoor,Q2JD-XRZM-K84X,BCYF-Curtis-Hall-AP3,"20 South Street, Jamaica Plain, MA - Room 108 supervisor",42.3088370155248,-71.1150811714723, BCYF BCYF-Grant Curtis Inside Jamaica-Plain ,2022/11/18 09:56:15+00,1,BCYF,,Inside,Jamaica Plain,109
-7910170.50504409,5215104.91233797,N_601230550253962397,Main Streets Staging,Q2CK-H4JE-2BSE,,"1 city hall plaza, boston, ma",42.3603036010139,-71.0582706467254, CITYHALL OUTSIDE recently-added ,2022/11/18 09:56:16+00,1,,,Outside,CITYHALL OUTSIDE,110
-7916421.18137263,5207616.20143762,N_601230550253962845,Jamaica Plain,Q2CK-NLSB-E9TE,JP-BFDE28-AP3,"746 Centre Street, Jamaica Plain",42.3105749822276,-71.1144214275456, recently-added ,2022/11/18 09:56:17+00,1,,,,,111
-7916494.62373062,5207354.5853439,N_601230550253962845,Jamaica Plain,Q2CK-SPCX-L9G6,JP-Curtis Hall-BCYF-AP1,"20 South St, Jamaica Plain, MA 02130",42.3088370155248,-71.1150811714723, BCYF BCYF-Grant Curtis-Hall Outside ,2022/11/18 09:56:17+00,1,BCYF,,Outside,Curtis Hall,112
-7916421.18137263,5207616.20143762,N_601230550253962845,Jamaica Plain,Q2CK-NER6-DHDA,JP-BFDE28-AP1,"746 Centre Street, Jamaica Plain",42.3105749822276,-71.1144214275456, recently-added ,2022/11/18 09:56:17+00,1,,,,,113
-7916421.18137263,5207616.20143762,N_601230550253962845,Jamaica Plain,Q2CK-NLUC-P9T6,JP-BFDE28-AP2,"746 Centre Street, Jamaica Plain",42.3105749822276,-71.1144214275456, recently-added ,2022/11/18 09:56:17+00,1,,,,,114
-7916494.62373062,5207354.5853439,N_601230550253962845,Jamaica Plain,Q2CK-LHCB-ZA9D,JP-Curtis Hall-BCYF-AP2,"20 South St, Jamaica Plain, MA 02130",42.3088370155248,-71.1150811714723, BCYF Centre-South-Main-Street Curtis-Hall Outside ,2022/11/18 09:56:17+00,1,BCYF,,Outside,Centre South Main Street Curtis Hall,115
-7916576.9372452,5207219.35909843,N_601230550253962845,Jamaica Plain,Q2CK-L8D3-H68P,JP-Curtis Hall-BCYF-AP3,"55 South St, Jamaica Plain",42.3079386624069,-71.1158206063547, Centre-South-Main-Street Lightpole Outside ,2022/11/18 09:56:17+00,1,,,Outside,Centre South Main Street,116
-7911026.54562431,5208426.65261463,N_601230550253965255,Strand Theatre - External,Q2QD-428C-NVTB,Strand_Centered above external set of doors,"543 Columbia Road Boston, MA 02125",42.315958662778,-71.0659605900958, Outside ,2022/11/18 09:56:31+00,1,,,Outside,,117
-7911026.54562431,5208426.65261463,N_601230550253965255,Strand Theatre - External,Q2QD-42EC-LQ5Z,Strand_Marquee support left,"543 Columbia Road Boston, MA 02125",42.315958662778,-71.0659605900958, Outside ,2022/11/18 09:56:31+00,1,,,Outside,,118
-7911026.54562431,5208426.65261463,N_601230550253965255,Strand Theatre - External,Q2QD-86JE-GS2B,Strand_Marquee support right,"543 Columbia Road
Boston, MA 02125",42.315958662778,-71.0659605900958, Outside ,2022/11/18 09:56:31+00,1,,,Outside,,119
-7911026.54562431,5208426.65261463,N_601230550253965256,Strand Theatre - Internal,Q2KD-6HAC-QJAE,Strand_Orchestra lobby_AP2,"543 Columbia Rd, Boston, MA 02125",42.315958662778,-71.0659605900958, Inside ,2022/11/18 09:56:32+00,1,,,Inside,,120
-7911026.54562431,5208426.65261463,N_601230550253965256,Strand Theatre - Internal,Q2KD-JUWB-SVBB,Strand_Camera room theatre wall ,"543 Columbia Rd, Boston, MA 02125",42.315958662778,-71.0659605900958, Inside ,2022/11/18 09:56:32+00,1,,,Inside,,121
-7911026.54562431,5208426.65261463,N_601230550253965256,Strand Theatre - Internal,Q2KD-363A-MRZV,Strand_Camera room office left,"543 Columbia Rd, Boston, MA 02125",42.315958662778,-71.0659605900958, Inside ,2022/11/18 09:56:32+00,1,,,Inside,,122
-7911026.54562431,5208426.65261463,N_601230550253965256,Strand Theatre - Internal,Q2LD-ENHA-3CRX,Strand_F.O.H,"543 Columbia Rd, Boston, MA 02125",42.315958662778,-71.0659605900958, Inside ,2022/11/18 09:56:32+00,1,,,Inside,,123
-7911026.54562431,5208426.65261463,N_601230550253965256,Strand Theatre - Internal,Q2KD-T5KV-QQRN,Strand_Stage Right ,"543 Columbia Rd, Boston, MA 02125",42.315958662778,-71.0659605900958, Inside ,2022/11/18 09:56:32+00,1,,,Inside,,124
-7911026.54562431,5208426.65261463,N_601230550253965256,Strand Theatre - Internal,Q2KD-V49N-RSA2,Strand_Orchestra lobby_AP1,"543 Columbia Rd, Boston, MA 02125",42.315958662778,-71.0659605900958, Inside ,2022/11/18 09:56:32+00,1,,,Inside,,125
-7911026.54562431,5208426.65261463,N_601230550253965256,Strand Theatre - Internal,Q2KD-6H83-WZ3E,Strand_Box Office ceiling,"543 Columbia Rd, Boston, MA 02125",42.315958662778,-71.0659605900958, Inside ,2022/11/18 09:56:32+00,1,,,Inside,,126
-7911026.54562431,5208426.65261463,N_601230550253965256,Strand Theatre - Internal,Q2KD-DQJU-LYTD,Strand_Stage Left,"543 Columbia Rd, Boston, MA 02125",42.315958662778,-71.0659605900958, Inside ,2022/11/18 09:56:32+00,1,,,Inside,,127
-7911026.54562431,5208426.65261463,N_601230550253965256,Strand Theatre - Internal,Q2KD-4MAV-QUR8,Strand_Camera room office right,"543 Columbia Rd, Boston, MA 02125",42.315958662778,-71.0659605900958, Inside ,2022/11/18 09:56:32+00,1,,,Inside,,128
-7911026.54562431,5208426.65261463,N_601230550253965256,Strand Theatre - Internal,Q2KD-4CVV-PPU5,Strand_Orchestra lobby_AP3,"543 Columbia Rd, Boston, MA 02125",42.315958662778,-71.0659605900958, Inside ,2022/11/18 09:56:32+00,1,,,Inside,,129
-7912918.97793197,5210706.17756294,N_601230550253966449,OPAT,Q3AC-GXG6-6WZR,OPAT-AP1,2201 Washington St Roxbury MA 02118,42.3310986653424,-71.0829605987571,,2022/11/18 09:56:33+00,1,,,,,130
-7912918.97793197,5210706.17756294,N_601230550253966449,OPAT,Q3AC-ZNTZ-AXMN,OPAT-AP2,2201 Washington St Roxbury MA 02118,42.3310986653424,-71.0829605987571,,2022/11/18 09:56:33+00,1,,,,,131
-7904346.26164797,5218988.75379076,N_601230550253966604,East Boston Senior Center,Q3AB-3PP3-JU4W,EBSC-AP-1,"18 Barnes Avenue, East Boston, MA 02128",42.3860786782013,-71.0059505781137, Inside employee ,2022/11/18 09:56:34+00,1,,,Inside,employee,132
-7904346.26164797,5218988.75379076,N_601230550253966604,East Boston Senior Center,Q3AB-SYXF-PX75,EBSC-AP-3,"18 Barnes Avenue, East Boston, MA 02128",42.3860786782013,-71.0059505781137, Inside employee ,2022/11/18 09:56:34+00,1,,,Inside,employee,133
-7904346.26164797,5218988.75379076,N_601230550253966604,East Boston Senior Center,Q3AB-384Z-M6EA,EBSC-AP-4,"18 Barnes Avenue, East Boston, MA 02128",42.3860786782013,-71.0059505781137, Inside employee ,2022/11/18 09:56:34+00,1,,,Inside,employee,134
-7904346.26164797,5218988.75379076,N_601230550253966604,East Boston Senior Center,Q3AB-4Q4V-8E7P,EBSC-AP-5,"18 Barnes Avenue, East Boston, MA 02128",42.3860786782013,-71.0059505781137, Inside employee ,2022/11/18 09:56:34+00,1,,,Inside,employee,135
-7910170.50504409,5215104.91233797,N_601230550253966673,City Hall Plaza and Pavilion,Q3AE-QMTD-57LD,2nd Floor North Entrance,"1 City Hall Plaza, 
Boston, MA  02201",42.3603036010139,-71.0582706467254, City-Hall ,2022/11/18 09:56:35+00,1,,,,City Hall,136
-7910170.50504409,5215104.91233797,N_601230550253966673,City Hall Plaza and Pavilion,Q3AE-WU87-WVGK,3rd Floor Lobby Entrance,"1 City Hall Plaza, 
Boston, MA  02201",42.3603036010139,-71.0582706467254, City-Hall ,2022/11/18 09:56:35+00,1,,,,City Hall,137
-7910789.06630099,5214371.55607318,N_568579452955527921,Parks,Q2CK-N8A5-VD4F,PARKS-COMMONWEST-AP3,"139 Tremont St, Boston, MA 02111",42.3554355018542,-71.0638272770378, recently-added ,2022/11/18 09:55:56+00,1,,,,,138
-7916761.50238065,5208414.63544093,N_568579452955527921,Parks,Q2CD-6YGF-H7PW,PARKS-JAMAICAPOND-AP3,"507 Jamaicaway, Jamaica Plain, MA - inside boat house",42.3158788382307,-71.1174785831756, Jamaica-Pond Outside ,2022/11/18 09:55:56+00,1,,,Outside,Jamaica Pond,139
-7910789.06630099,5214371.55607318,N_568579452955527921,Parks,Q2CK-NK2U-62SL,PARKS-COMMONEAST-AP2,"139 Tremont St, Boston, MA 02111",42.3554355018542,-71.0638272770378, Boston-Common ,2022/11/18 09:55:56+00,1,,,,Boston Common,140
-7910789.06630099,5214371.55607318,N_568579452955527921,Parks,Q2CK-L3KB-8LWG,PARKS-COMMONWEST-AP4,"139 Tremont St, Boston, MA 02111",42.3554355018542,-71.0638272770378, recently-added ,2022/11/18 09:55:56+00,1,,,,,141
